NAMESPACE     LAST SEEN   TYPE      REASON                           OBJECT                                        MESSAGE
default       119m        Normal    Starting                         node/vm2-monitor                              
default       67m         Normal    Starting                         node/vm1-objetivo                             
desarrollo    13m         Normal    Scheduled                        pod/pod-falco-test                            Successfully assigned desarrollo/pod-falco-test to vm2-monitor
falco         15h         Normal    Scheduled                        pod/falco-xfrzx                               Successfully assigned falco/falco-xfrzx to vm1-objetivo
falco         16h         Normal    Scheduled                        pod/falco-2rmbj                               Successfully assigned falco/falco-2rmbj to vm1-objetivo
falco         15h         Normal    Scheduled                        pod/falco-8ms9q                               Successfully assigned falco/falco-8ms9q to vm1-objetivo
default       28m         Normal    Starting                         node/vm1-objetivo                             
default       66m         Normal    Starting                         node/vm2-monitor                              
falco         15h         Normal    Scheduled                        pod/falco-dpb7b                               Successfully assigned falco/falco-dpb7b to vm1-objetivo
default       119m        Normal    Starting                         node/vm1-objetivo                             
falco         119m        Normal    Scheduled                        pod/falco-t5wsb                               Successfully assigned falco/falco-t5wsb to vm1-objetivo
falco         16h         Normal    SuccessfulDelete                 daemonset/falco                               Deleted pod: falco-rl5zp
falco         16h         Warning   FailedDaemonPod                  daemonset/falco                               Found failed daemon pod falco/falco-rl5zp on node vm1-objetivo, will try to kill it
falco         16h         Normal    SuccessfulCreate                 daemonset/falco                               Created pod: falco-2rmbj
falco         16h         Warning   Evicted                          pod/falco-2rmbj                               The node had condition: [DiskPressure].
falco         15h         Warning   FailedDaemonPod                  daemonset/falco                               Found failed daemon pod falco/falco-2rmbj on node vm1-objetivo, will try to kill it
falco         15h         Normal    SuccessfulDelete                 daemonset/falco                               Deleted pod: falco-2rmbj
falco         15h         Warning   Evicted                          pod/falco-8ms9q                               The node had condition: [DiskPressure].
falco         15h         Normal    SuccessfulCreate                 daemonset/falco                               Created pod: falco-8ms9q
default       15h         Warning   EvictionThresholdMet             node/vm1-objetivo                             Attempting to reclaim ephemeral-storage
default       15h         Warning   FreeDiskSpaceFailed              node/vm2-monitor                              Insufficient free disk space on the node's image filesystem (88% of 9.7 GiB used). Failed to free sufficient space by deleting unused images (freed 0 bytes). Investigate disk usage, as it could be used by active images, logs, volumes, or other data.
default       15h         Warning   ImageGCFailed                    node/vm2-monitor                              Insufficient free disk space on the node's image filesystem (88% of 9.7 GiB used). Failed to free sufficient space by deleting unused images (freed 0 bytes). Investigate disk usage, as it could be used by active images, logs, volumes, or other data.
